"id","title","time","director","year","star","cost"
1,"The Adventures Of Shark Boy And Lava Girl    ","1 hour, 33 minutes","Robert Rodriguez",2005,"Taylor Lautner, Taylor Dooley","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $12.99,"
2,"Game of Thrones   ",04/12/15,"Michael Slovis",2015,"53 minutes","Buy SD $2.99,Buy HD $38.99,Buy SD $28.99,"
3,"Captain America: The Winter Soldier  (Plus Bonus Features)    ","2 hours, 37 minutes","Anthony Russo",2014,"Chris Evans, Samuel L. Jackson","Buy HD $19.99,Buy SD $14.99,"
4,"Harry Potter and the Deathly Hallows: Part 1    ","2 hours, 26 minutes","David Yates",2010,"Bill Nighy, Emma Watson","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
5,"Minority Report   ",09/21/15,,2015,,"Buy SD $1.99,Buy HD $24.99,Buy SD $19.99,"
6,"Guardians of the Galaxy (Theatrical)    ","2 hours, 1 minute","James Gunn",2014,"Chris Pratt, Zoe Saldana","Buy HD $19.99,Buy SD $14.99,"
7,"Person of Interest   ","44 minutes","Richard J. Lewis",2014,"Jim Caviezel, Kevin Chapman","Buy SD $1.99,Buy HD $34.99,Buy SD $34.99,"
8,"Fast & Furious 6    ","2 hours, 11 minutes","Justin Lin",2013,"Vin Diesel, Paul Walker","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
9,"Apollo 13    ","2 hours, 21 minutes","Ron Howard",2008,"Tom Hanks, Bill Paxton","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
10,"The Big Lebowski    ","1 hour, 58 minutes","Joel Coen",1998,"Jeff Bridges, John Goodman","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
11,"Ultimate Avengers The Movie    ","1 hour, 12 minutes","Curt Geda",2006,"Justin Gross, Grey Griffin","Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
12,"The Veteran    ","1 hour, 39 minutes","Matthew Hope",2012,"Toby Kebbell, Adi Bielski","Buy SD $5.99,"
13,"Divergent (Plus Bonus Features)    ","3 hours, 7 minutes","Neil Burger",2014,"Shailene Woodley, Theo James","Buy HD $19.99,Buy SD $14.99,"
14,"Captain America: The Winter Soldier (Theatrical)    ","2 hours, 16 minutes","Anthony Russo",2014,"Chris Evans, Samuel L. Jackson","Buy HD $19.99,Buy SD $14.99,"
15,"The X-Files    ","2 hours, 2 minutes","Rob Bowman",1998,"David Duchovny, Gillian Anderson","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
16,"Casablanca    ","1 hour, 43 minutes","Michael Curtiz",1942,"Humphrey Bogart, Ingrid Bergman","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
17,"Petra, Israel's Secret Hiding Place - Bible Prophecy Revealed    ",,,2001,,"Buy SD $5.99,"
18,"Sherlock Holmes: A Game Of Shadows    ","2 hours, 9 minutes","Guy Ritchie",2011,"Robert Downey Jr., Jude Law","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
19,"The Lord of the Rings: The Return of the King    ","3 hours, 21 minutes","Peter Jackson",2003,"Noel Appleby, Ali Astin","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
20,"Star Wars Trilogy (A New Hope / The Empire Strikes Back / Return of the Jedi) (Widescreen Edition with Bonus Disc) "," 388 minutes ","George Lucas",09/21/04,"Mark Hamill",$99.98
21,"Idiocracy "," 84 minutes ","Mike Judge",01/09/07,"Luke Wilson",$5.00
22,"Kino's Journey   ","25 minutes","Kyle Jones",2004,"Kelli Cousins, Ai Maeda","Buy SD $24.99,"
23,"47 Ronin    ","1 hour, 59 minutes","Carl Rinsch",2013,"Keanu Reeves, Hiroyuki Sanada","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
24,"Cast Away    ","2 hours, 24 minutes","Robert Zemeckis",2000,"Paul Sanchez, Lari White","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
25,"John Carter    ","2 hours, 13 minutes","Andrew Stanton",2012,"Taylor Kitsch, Lynn Collins","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
26,"The French Connection    ","1 hour, 44 minutes","William Friedkin",1971,"Gene Hackman, Fernando Rey","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
27,"The Dark Knight Rises [Blu-ray] "," 165 minutes ","Christopher Nolan",12/04/12,"Christian Bale",$11.99
28,"The Pacific "," 400 minutes ","Carl Franklin",11/02/10,"Joseph Mazzello",$17.99
29,"Lord of the Rings: The Return of the King (Extended Edition)    ","4 hours, 24 minutes","Peter Jackson",2004,"Noel Appleby, Ali Astin","Buy HD $17.99,Buy SD $9.99,"
30,"Gran Torino    ","1 hour, 57 minutes","Clint Eastwood",2008,"Clint Eastwood, Christopher Carley","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
31,"Slumdog Millionaire    ","2 hours, 1 minute","Danny Boyle",2009,"Dev Patel, Saurabh Shukla","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $13.99,"
32,"The Hunger Games: Catching Fire Free Featurette - New Cast    ","6 minutes","Francis Lawrence",2013,"Jennifer Lawrence","Buy SD Free,"
33,"Stephen King's The Stand "," 359 minutes ",,06/18/13,,$11.99
34,"Batman Begins    ","2 hours, 21 minutes","Christopher Nolan",2005,"Christian Bale, Michael Caine","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
35,"Apollo 13 - Collector's Edition "," 140 minutes ","Ron Howard",08/22/06,"Tom Hanks",$8.70
36,"Red 2 "," 116 minutes ","Dean Parisot",11/26/13,"Bruce Willis",$7.50
37,"Dumb And Dumber To    ","1 hour, 50 minutes","Bobby Farrelly",2014,"Jim Carrey, Jeff Daniels","Buy HD $12.99,Buy SD $9.99,"
38,"Dragon Ball Z: Season 4 [Blu-ray] "," 755 minutes ","Mike McFarland",05/13/14,"Sean Schemmel",$24.34
39,"The Count of Monte Cristo "," 131 minutes ","Kevin Reynolds",09/10/02,"Jim Caviezel",$9.99
40,"The Secret Life of Walter Mitty [Blu-ray] "," 115 minutes ",,04/15/14,"Ben Stiller",$13.67
41,"Contagion (2011)    ","1 hour, 47 minutes","Steven Soderbergh",2011,"Gwyneth Paltrow, Tien You Chui","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
42,"Fast & Furious (2009)    ","1 hour, 48 minutes","Justin Lin",2009,"Vin Diesel, Paul Walker","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
43,"Oz The Great and Powerful    ","2 hours, 11 minutes","Sam Raimi",2013,"James Franco, Mila Kunis","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $12.99,"
44,"The Hobbit: An Unexpected Journey (Extended Edition)    ","3 hours, 3 minutes","Peter Jackson",2012,"Ian McKellen, Martin Freeman","Buy HD $19.99,Buy SD $14.99,"
45,"Nero: The Road to Tyranny    ","1 hour, 33 minutes","Paul Marcus",2002,"Hans Matheson,Laura Morante","Buy SD $9.99,"
46,"Oblivion (Blu-ray + DVD + Digital Copy + UltraViolet) "," 124 minutes ","Joseph Kosinski",08/06/13,"Tom Cruise",$9.90
47,"The Monuments Men    ","1 hour, 59 minutes","George Clooney",2014,"George Clooney, Matt Damon","Buy HD $9.99,Buy SD $9.99,"
48,"Top Gun (Widescreen Special Collector's Edition) "," 110 minutes ","Tony Scott",12/14/04,"Tom Cruise",$7.50
49,"Indiana Jones and The Temple Of Doom    ","1 hour, 59 minutes","Steven Spielberg",1984,"Harrison Ford, Kate Capshaw","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
50,"The Divergent Series: Insurgent (Plus Bonus Features)    ","2 hours, 19 minutes","Robert Schwentke",2015,"Shailene Woodley,Theo James","Buy HD $19.99,Buy SD $17.99,"
51,"Dragon Ball Z: Season 2 [Blu-ray] "," 830 minutes ","Mike McFarland",02/18/14,"Sean Schemmel",$22.99
52,"Skyfall (Blu-ray/ DVD + Digital Copy) "," 143 minutes ","Sam Mendes",02/12/13,"Daniel Craig",$19.01
53,"Limitless (Unrated Extended Cut + Digital Copy) [Blu-ray] "," 105 minutes ","Neil Burger",07/19/11,"Bradley Cooper",$22.49
54,"Nausicaä of the Valley of the Wind (Two-Disc Blu-ray/DVD Combo) "," 117 minutes ","Hayao Miyazaki",03/08/11,"Uma Thurman",$17.95
55,"Jaws    ","2 hours, 5 minutes","Steven Spielberg",1975,"Roy Scheider, Robert Shaw","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
56,"Lone Survivor (Blu-ray + DVD + Digital HD with UltraViolet) "," 122 minutes ","Peter Berg",06/03/14,"Mark Wahlberg",$12.99
57,"Mad Max Beyond Thunderdome [Blu-ray] "," 107 minutes ","George Miller",06/04/13,"Mel Gibson",$7.50
58,"Mad Max 2: The Road Warrior    ","1 hour, 36 minutes","George Miller",1982,"Mel Gibson, Bruce Spence","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
59,"Star Trek Into Darkness (Blu-ray + DVD + Digital HD) "," 132 minutes ","J.J. Abrams",09/10/13,"Chris Pine",$11.99
60,"Ender's Game [Blu-ray] "," 114 minutes ","Gavin Hood",02/11/14,"Harrison Ford",$7.88
61,"Army of Darkness (Screwhead Edition) [Blu-ray] "," 81 minutes ","Sam Raimi",09/15/09,"Bruce Campbell",$9.49
62,"Man of Steel (Blu-ray) "," 143 minutes ","Zack Snyder",11/12/13,"Henry Cavill",$14.99
63,"The Twilight Saga: Breaking Dawn - Part 2 [DVD + Digital Copy + UltraViolet] "," 115 minutes ","Bill Condon",03/02/13,"Kristen Stewart",$7.50
64,"Night at the Museum    ","1 hour, 49 minutes","Shawn Levy",2006,"Ben Stiller, Carla Gugino","Buy HD $12.99,Buy SD $13.99,"
65,"Shoot First And Pray You Live    ","1 hour, 51 minutes","Lance Doty",2008,"John Doman, Jim Gaffigan","Rent HD $3.99,Rent SD $2.99,Buy HD $11.99,Buy SD $9.99,"
66,"Gung Ho    ","1 hour, 27 minutes","Ray Enright",1943,"Randolph Scott, Alan Curtis","Buy SD $4.99,"
67,"King Kong    ","2 hours, 15 minutes","John Guillermin",1976,"Jeff Bridges, Charles Grodin","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
68,"Once Upon a Time: Season 4 BD [Blu-ray] "," 966 minutes ",,08/18/15,"Ginnifer Goodwin",$43.91
69,"Magnum P.I.: The Complete Series "," 7831 minutes ",,10/01/13,"John Hillerman",$81.38
70,"Trollhunter (English Subtitled)    ","1 hour, 44 minutes","André Øvredal",2011,"Otto Jespersen, Glenn Erland Tosterud","Rent SD $2.99,Buy HD $4.99,Buy SD $4.99,"
71,"Lord of the Rings: The Two Towers    ","3 hours, 0 minutes","Peter Jackson",2002,"Bruce Allpress, Sean Astin","Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
72,"Jurassic Park (Blu-ray 3D + Blu-ray + DVD + Digital Copy + UltraViolet) "," 381 minutes ","Steven Spielberg",04/23/13,"Sam Neill",$14.96
73,"Dragon Ball Z: Season 5 [Blu-ray] "," 615 minutes ",,06/24/14,"Christopher Sabat",$24.99
74,"Meek's Cutoff    ","1 hour, 43 minutes","Kelly Reichardt",2011,"Michelle Williams, Bruce Greenwood","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
75,"Star Trek: Enterprise   ","1 hour, 27 minutes","James L. Conway",2001,"Scott Bakula, John Billingsley","Buy SD $1.99,Buy HD $49.99,Buy SD $39.99,"
76,"Indiana Jones and The Last Crusade    ","2 hours, 7 minutes","Steven Spielberg",1989,"Harrison Ford, Sean Connery","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
77,"Alien    ","1 hour, 57 minutes","Ridley Scott",1979,"Tom Skerritt, Sigourney Weaver","Rent HD $3.99,Rent SD $2.99,Buy HD $8.99,Buy SD $9.99,"
78,"O' Brother, Where Art Thou?    ","1 hour, 48 minutes","Joel Coen",2000,"George Clooney, John Turturro","Rent HD $3.99,Rent SD $2.99,Buy HD $17.99,Buy SD $9.99,"
79,"The Salvation    ","1 hour, 33 minutes","Kristian Levring",2015,"Mads Mikkelsen, Eva Green","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $12.99,"
80,"Star Wars IV: A New Hope (Limited Edition) "," 121 minutes ","George Lucas",09/12/06,"Mark Hamill",$30.79
81,"Journey 2: The Mysterious Island    ","1 hour, 35 minutes","Brad Peyton",2012,"Dwayne Johnson, Michael Caine","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
82,"Pirates of the Caribbean: On Stranger Tides    ","2 hours, 17 minutes","Rob Marshall",2011,"Johnny Depp, Penélope Cruz","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
83,"The Fifth Element Cinema Series (Blu-ray + UltraViolet + Limited Edition Clear Case Packaging) "," 126 minutes ","Luc Besson",10/27/15,"Ian Holm",$27.86
84,"Eden Log    ","1 hour, 43 minutes","Franck Vestiel",2007,"Clovis Cornillac, Vimala Pons","Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
85,"The Karate Kid    ","2 hours, 7 minutes","John G. Avildsen",1984,"Ralph Macchio, Pat Morita","Buy HD $12.99,Buy SD $7.99,"
86,"Firefly: The Complete Series "," 44 minutes ","Joss Whedon",12/09/03,"Nathan Fillion",$14.44
87,"Last Knights    ","1 hour, 55 minutes","Kazuaki Kiriya",2015,"Clive Owen, Morgan Freeman","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $12.99,"
88,"Once Upon a Time: Season 1 "," 946 minutes ",,08/28/12,"Jennifer Morrison",$17.99
89,"Into the Wild    ","2 hours, 29 minutes","Sean Penn",2007,"Emile Hirsch, Marcia Gay Harden","Rent HD $3.99,Rent SD $2.99,Buy HD $13.99,Buy SD $9.99,"
90,"The Lone Ranger (2013)    ","2 hours, 30 minutes","Gore Verbinski",2013,"Johnny Depp, Armie Hammer","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
91,"Indiana Jones: The Complete Adventure Collection (Raiders of the Lost Ark / Temple of Doom / Last Crusade / Kingdom of the Crystal Skull) "," 481 minutes ","Steven Spielberg",10/14/08,"Harrison Ford",$34.70
92,"Pacific Rim (Blu-ray) "," 131 minutes ","Guillermo del Toro",10/15/13,"Idris Elba",$8.99
93,"Tremors    ","1 hour, 37 minutes","Ron Underwood",1990,"Kevin Bacon, Fred Ward","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
94,"The Last - Naruto the Movie    ",,,2012,,"Buy HD $12.99,Buy SD $9.99,"
95,"Pacific Rim    ","2 hours, 12 minutes","Guillermo del Toro",2013,"Charlie Hunnam, Diego Klattenhoff","Buy HD $17.99,Buy SD $9.99,"
96,"Titanic    ","3 hours, 15 minutes","James Cameron",2012,"Leonardo DiCaprio, Kate Winslet","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
97,"Survivor   ",09/20/07,,2007,,"Buy SD $9.99,"
98,"Certain Prey    ","1 hour, 29 minutes","Chris Gerolmo",2011,"Mark Harmon,Tatiana Maslany","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $8.99,"
99,"The Getaway    ","2 hours, 3 minutes","Sam Peckinpah",1972,"Steve McQueen, Ali MacGraw","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
100,"Once Upon A Time: Season 2 "," 946 minutes ",,08/13/13,"Jennifer Morrison",$15.71
101,"The Hobbit: An Unexpected Journey (Extended Edition) (Blu-ray) "," 182 minutes ","Peter Jackson",11/05/13,"Ian McKellen",$28.79
102,"Marvel Cinematic Universe: Phase One - Avengers Assembled (Iron Man / The Incredible Hulk / Iron Man 2 / Thor / Captain America: The First Avenger / The Avengers) [Blu-ray] "," 143 minutes ","Joe Johnston",04/02/13,"Robert Downey Jr.",$197.10
103,"O Brother, Where Art Thou? "," 107 minutes ","Joel Coen",06/12/01,"George Clooney",$6.99
104,"Iron Man 3 (Blu-ray + DVD) "," 130 minutes ","Shane Black",09/24/13,"Robert Downey Jr.",$28.67
105,"The Hobbit: An Unexpected Journey (plus bonus features)    ","3 hours, 51 minutes","Peter Jackson",2012,"Ian McKellen, Martin Freeman","Buy HD $17.99,Buy SD $9.99,"
106,"Ultimate Force    ","1 hour, 31 minutes","Mark Burson",2005,"Mirko Cro Cop Filipovic, Ruza Madarevic","Buy SD $6.99,"
107,"The Warriors    ","1 hour, 34 minutes","Walter Hill",1979,"Michael Beck, James Remar","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
108,"Lord of the Rings: The Fellowship of the Ring - Extended Edition    ","3 hours, 49 minutes","Peter Jackson",2002,"Alan Howard, Elijah Wood","Buy HD $17.99,Buy SD $9.99,"
109,"Saving Private Ryan    ","2 hours, 50 minutes","Steven Spielberg",1998,"Tom Hanks, Tom Sizemore","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $9.99,"
110,"The Amazing Spider-Man 2    ","2 hours, 22 minutes","Marc Webb",2014,"Andrew Garfield, Emma Stone","Buy HD $13.99,Buy SD $9.99,"
111,"Ant-Man (Plus Bonus Features)   ","1 hour, 57 minutes","Peyton Reed",2015,"Paul Rudd, Michael Douglas","Pre-order SD $14.99,"
112,"Spenser for Hire: Season 3 "," 1010 minutes ",,09/01/15,"Robert Urich",$42.99
113,"Thor [DVD] "," 114 minutes ","Kenneth Branagh",09/24/13,,$12.99
114,"The Hobbit: The Desolation of Smaug (Special Edition) (DVD) "," 161 minutes ","Peter Jackson",10/07/14,"Ian McKellen",$10.99
115,"Iron Man 3 (plus bonus features)    ","3 hours, 9 minutes","Shane Black",2013,"Robert Downey Jr., Gwyneth Paltrow","Buy HD $19.99,Buy SD $14.99,"
116,"Jurassic Park: Ultimate Trilogy (Blu-ray + Digital Copy) "," 349 minutes ","Steven Spielberg",10/25/11,"Alessandro Nivola",$29.49
117,"The Three Musketeers   ",11/14/13,"Sergei Zhigunov",2013,"48 minutes","Buy SD $1.99,Buy HD $16.99,Buy SD $15.99,"
118,"Maleficent (Theatrical)    ","1 hour, 38 minutes","Robert Stromberg",2014,"Angelina Jolie, Elle Fanning","Buy HD $19.99,Buy SD $14.99,"
119,"Iron Man 2    ","2 hours, 7 minutes","Jon Favreau",2010,"Robert Downey Jr., Gwyneth Paltrow","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
120,"Men In Black    ","1 hour, 38 minutes","Barry Sonnenfeld",1997,"Tommy Lee Jones, Will Smith","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
121,"Jurassic Park III    ","1 hour, 33 minutes","Joe Johnston",2001,"Sam Neill, William H. Macy","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
122,"Thor    ","1 hour, 55 minutes","Kenneth Branagh",2011,"Chris Hemsworth, Natalie Portman","Rent HD $3.99,Rent SD $2.99,Buy HD $19.99,Buy SD $14.99,"
123,"Blade Runner (30th Anniversary Collector's Edition) [Blu-ray] "," 117 minutes ","Ridley Scott",10/23/12,"Harrison Ford",$13.89
