id,title,time,director,year,star,cost
1,The Secret Garden (1993)    ,"1 hour, 42 minutes",Agnieszka Holland,1993,"Kate Maberly, Heydon Prowse","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
2,Beastly    ,"1 hour, 27 minutes",Daniel Barnz,2011,"Alex Pettyfer, Justin Bradley","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $9.99,"
3,"Kumiko, the Treasure Hunter    ","1 hour, 45 minutes",David Zellner,2015,"Rinko Kikuchi, Nobuyuki Katsube","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
4,Laggies    ,"1 hour, 40 minutes",Lynn Shelton,2014,"Rocki DuCharme, Sara Lynne Wright","Rent HD $3.99,Rent SD $2.99,Buy HD $12.99,Buy SD $12.99,"
5,Thanks For Sharing    ,"1 hour, 53 minutes",Stuart Blumberg,2013,"Mark Ruffalo, Tim Robbins","Rent HD $3.99,Rent SD $2.99,Buy HD $14.99,Buy SD $12.99,"
6,"Lovely, Still    ","1 hour, 33 minutes",Nicholas Fackler,2008,"Martin Landau, Ellen Burstyn","Rent SD $2.99,Buy HD $9.99,Buy SD $7.99,"
7,Glory    ,"2 hours, 3 minutes",Edward Zwick,1989,"Matthew Broderick, Denzel Washington","Buy HD $12.99,Buy SD $9.99,"
8,Woman in Gold    ,"1 hour, 50 minutes",Simon Curtis,2015,"Helen Mirren, Ryan Reynolds","Rent HD $5.99,Rent SD $4.99,Buy HD $12.99,Buy SD $9.99,"
9,At First Sight   ,,,,,"Buy SD $9.99,"
10,Do You Believe , 86 minutes ,Gunn,"  August 4, 2015",Sean Astin,$12.96
11,The Last Time You Had Fun    ,"1 hour, 18 minutes",Mo Perkins,2015,"Kyle Bornheimer, Eliza Coupe","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
12,Travelling Salesman    ,"1 hour, 21 minutes",Timothy Lanzone,2012,"Danny Barclay, Eric Bloom","Rent HD $4.99,Rent SD $3.99,Buy HD $12.99,Buy SD $9.99,"
13,Silent Witness    ,"1 hour, 29 minutes",Peter Markle,2011,"Dermot Mulroney, Michael Cudlitz","Rent HD $3.99,Rent SD $2.99,Buy HD $8.99,Buy SD $6.99,"
14,Jail Bait Babysitter - Digitally Remastered    ,"1 hour, 26 minutes",John Hayes,1977,"Therese Pare, Roscoe Born","Buy SD $7.99,"
15,Jupiter Ascending    ,"2 hours, 8 minutes",Andy Wachowski,2015,"Mila Kunis, Channing Tatum","Buy HD $19.99,Buy SD $14.99,"
16,Before We Go    ,"1 hour, 36 minutes",Chris Evans,2015,"Chris Evans, Alice Eve","Rent HD $6.99,Rent SD $6.99,Buy HD $14.99,Buy SD $14.99,"
17,Maggie    ,"1 hour, 36 minutes",Henry Hobson,2015,"Arnold Schwarzenegger, Abigail Breslin","Rent HD $4.99,Rent SD $3.99,Buy HD $6.99,Buy SD $6.99,"
18,The Hunger Games    ,"2 hours, 23 minutes",Gary Ross,2012,"Jennifer Lawrence,Josh Hutcherson","Rent HD $3.99,Rent SD $2.99,Buy HD $16.99,Buy SD $15.99,"
19,Gett: The Trial of Viviane Amsalem (English Subtitled)   ,"1 hour, 56 minutes",Ronit Elkabetz,2015,"Ronit Elkabetz, Simon Abkarian","Rent HD $4.99,Rent SD $3.99,Buy HD $14.99,Buy SD $12.99,"
20,Ex Machina (Blu-ray + Digital HD) , 108 minutes ,Alex Garland,"  July 14, 2015",Oscar Isaac,$14.96
21,Escobar: Paradise Lost    ,"2 hours, 0 minutes",Andrea Di Stefano,2015,"Benicio Del Toro, Josh Hutcherson","Rent HD $3.99,Rent SD $2.99,Buy HD $9.99,Buy SD $9.99,"
